From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
##陸

#山岳地帯




4318;5102;impassable;-1;-1;-1;-1;-1;;ヒマラヤ山脈
1898;8029;impassable;-1;-1;-1;-1;-1;;ヒマラヤ山脈
1898;1961;impassable;-1;-1;-1;-1;-1;;ヒマラヤ山脈
3989;1961;impassable;-1;-1;-1;-1;-1;;ヒマラヤ山脈
1129;1961;impassable;-1;-1;-1;-1;-1;;ヒマラヤ山脈
1996;4318;impassable;-1;-1;-1;-1;-1;;ヒマラヤ山脈
4558;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
2084;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
10821;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;12831;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12805;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;5087;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
4923;5087;impassable;-1;-1;-1;-1;-1;;stalinabad mountains#nmmp
12805;1766;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
8027;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12370;1766;impassable;-1;-1;-1;-1;-1;;パミール高原
12370;12119;impassable;-1;-1;-1;-1;-1;;パミール高原
5062;12119;impassable;-1;-1;-1;-1;-1;;パミール高原
4923;1766;impassable;-1;-1;-1;-1;-1;;パミール高原#nmmp
5062;1766;impassable;-1;-1;-1;-1;-1;;パミール高原#nmmp
1703;4768;impassable;-1;-1;-1;-1;-1;;パミール高原#nmmp
5062;4828;impassable;-1;-1;-1;-1;-1;;パミール高原
4768;4828;impassable;-1;-1;-1;-1;-1;;パミール高原
4391;4828;impassable;-1;-1;-1;-1;-1;;パミール高原
4391;1703;impassable;-1;-1;-1;-1;-1;;パミール高原
4391;12526;impassable;-1;-1;-1;-1;-1;;パミール高原
11697;3931;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
9882;3931;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
9882;11838;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
9882;915;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
9882;899;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
6766;899;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
6766;3899;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
3915;3899;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
6931;3899;impassable;-1;-1;-1;-1;-1;;ピレネー山脈
198;13076;impassable;-1;-1;-1;-1;-1;;ウラル山脈
11098;13076;impassable;-1;-1;-1;-1;-1;;ウラル山脈
11098;12502;impassable;-1;-1;-1;-1;-1;;ウラル山脈
3612;611;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
3612;11570;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
9587;11570;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
9587;776;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
9587;6635;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
636;6635;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
658;11601;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
658;661;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
3660;661;impassable;-1;-1;-1;-1;-1;;アルプス山脈東部
11721;6975;impassable;-1;-1;-1;-1;-1;;アルプス山脈西部
11721;3764;impassable;-1;-1;-1;-1;-1;;アルプス山脈西部
9738;3764;impassable;-1;-1;-1;-1;-1;;アルプス山脈西部
9738;9745;impassable;-1;-1;-1;-1;-1;;アルプス山脈西部
6780;9745;impassable;-1;-1;-1;-1;-1;;アルプス山脈西部

#海峡
83;185;sea;1885;-1;-1;-1;-1;;シュール海峡	Suur Strait
83;6201;sea;1660;-1;-1;-1;-1;;ハリ・クルク海峡	Hari Kurk Strait
185;6201;sea;1885;-1;-1;-1;-1;;ソエラ海峡	Soela Strait
198;11047;sea;8370;-1;-1;-1;-1;;カラ海峡	Kara Strait
211;299;sea;2282;-1;-1;-1;-1;;カルマル海峡	Kalmar Strait
379;11106;sea;5533;-1;-1;-1;-1;;マルティニーク海峡	Martinique Channel
1025;11985;sea;7932;-1;-1;-1;-1;;関門海峡	Kanmon Straits
1070;4160;sea;5244;-1;-1;-1;-1;;瓊州海峡	Qiongzhou Strait
1085;10291;sea;5868;-1;-1;-1;-1;;インディスペンセイブル海峡	Indispensable Strait
1123;11932;sea;8525;-1;-1;-1;-1;;宮古海峡	Miyako Strait
1167;7145;sea;2684;-1;-1;-1;-1;;隠岐海峡
1342;10279;sea;2737;-1;-1;-1;-1;;スンダ海峡	Sunda Strait
1393;7259;sea;5257;-1;-1;-1;-1;;ジョージア海峡	Strait of Georgia
1399;4728;sea;5488;-1;-1;-1;-1;;占守海峡	Shumushu Strait
1401;7396;sea;5615;-1;-1;-1;-1;;バンカ海峡	Bangka Strait
1460;12126;sea;812;-1;-1;-1;-1;;ムンタワイ海峡	Mentawai Strait
1515;13037;sea;5614;-1;-1;-1;-1;;択捉海峡	Vries Strait
